fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221003 005115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	318601	0.025912912177893	0.869700323670489	5278	718	8269	26990000	85
20221003 005131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	318601	0.0848377870079145	0.999572511548942	6978	18	9233	26660000	86
20221003 005146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	318601	0.137598400112991	0.235509256589351	2176	16	9531	25820000	87
20221003 005231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	318601	0.0231475769794127	0.768890313625371	3664	919	9224	26760000	88
20221003 005242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	318601	0.222943565817913	0.999788685272159	6260	282	9037	26250000	89
20221003 005318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	318601	0.0342513330833417	0.999239563738907	4815	402	9312	26660000	90
20221003 005332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	318601	0.202166107540448	0.201325472678943	7989	39	5124	24880000	91
20221003 005344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	318601	0.299917157482643	0.20026330980088	7985	29	14774	22700000	92
20221003 005447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	318601	0.0228867550976522	0.496317810919962	6333	1019	7807	26870000	93
20221003 005500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	318601	0.242664217430855	0.200633806135949	4338	26	7507	24830000	94
20221003 005509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	318601	0.299993799403053	0.792895214808966	7790	736	5002	23440000	95
20221003 005642	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	471	TRUE	318601	0.0106764853407358	0.870214028880335	1616	36	7851	27260000	96
20221003 005702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	318601	0.105987999139896	0.55636015750531	3557	621	9833	25700000	97
20221003 005818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	595	TRUE	318601	0.0232519614640245	0.239753033793508	7943	18	8251	26780000	98
20221003 005839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	318601	0.0629670520283531	0.844365434133192	5362	1024	7825	27470000	99
20221003 005905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	318601	0.0552722657751024	0.87003419282705	5589	1024	8427	27230000	100
20221003 005926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	318601	0.0637456229780295	0.812009219519175	4494	1024	7923	26720000	101
20221003 005953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	318601	0.0663946372455777	0.569150077691326	5591	17	9246	26790000	102
20221003 010011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	318601	0.0768115709940558	0.888077235926345	5892	1022	7549	26830000	103
20221003 010034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	318601	0.0651344249445268	0.849580053481935	5354	1016	9815	26770000	104
20221003 010108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	318601	0.0630940102228984	0.280863373949468	5400	1018	7792	26580000	105
20221003 010137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	318601	0.0619525227243537	0.738233564160289	5575	939	7825	26990000	106
20221003 010159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	318601	0.062762291673367	0.999192785302471	5351	205	7940	27400000	107
20221003 010241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	318601	0.0272298892496462	0.840617365288736	5345	1024	7746	27070000	108
